City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
300,dewas,22.9667,76.0667,59.0,63,0,2.55,IN,1613436660
301,tateyama,34.9833,139.8667,55.0,41,0,7.0,JP,1613436660
302,viedma,-40.8135,-62.9967,55.99,70,96,4.79,AR,1613436624
303,lata,40.1629,-8.3327,57.2,67,0,10.36,PT,1613436503
304,chilliwack,49.1747,-121.9443,35.6,75,100,18.41,CA,1613436605
305,asfi,32.2994,-9.2372,61.38,70,3,5.91,MA,1613436624
306,vostok,46.4856,135.8833,3.27,94,100,12.75,RU,1613436472
307,evensk,61.95,159.2333,11.08,87,100,2.21,RU,1613436661
308,sao joao da barra,-21.6403,-41.0511,77.58,89,100,17.09,BR,1613436661
309,bijie,27.3125,105.2942,41.04,85,100,8.32,CN,1613436661
310,bagdarin,54.4333,113.6,-20.07,77,0,3.6,RU,1613436475
311,pangnirtung,66.1451,-65.7125,-18.45,72,0,1.19,CA,1613436661
312,yatou,37.15,122.3833,32.34,87,0,16.6,CN,1613436661
313,tahoua,14.8888,5.2692,80.6,10,0,9.22,NE,1613436661
314,namibe,-15.1961,12.1522,72.28,81,49,7.43,AO,1613436505
315,oriximina,-1.7656,-55.8661,75.25,93,100,3.53,BR,1613436475
316,huarmey,-10.0681,-78.1522,72.82,75,62,7.54,PE,1613436661
317,el alto,-4.2714,-81.2147,73.26,82,95,13.04,PE,1613436661
318,addanki,15.8167,79.9833,64.74,84,0,3.8,IN,1613436661
319,garowe,8.4054,48.4845,63.34,93,38,7.94,SO,1613436662
320,maldonado,-34.6667,-54.9167,73.0,94,40,6.91,UY,1613436662
321,wanning,18.8003,110.3967,70.18,74,79,2.86,CN,1613436662
322,saint-philippe,-21.3585,55.7679,78.8,69,0,6.91,RE,1613436662
323,gemena,3.25,19.7667,74.91,67,100,3.33,CD,1613436662
324,doha,25.2867,51.5333,62.6,82,0,2.3,QA,1613436662
325,russell,32.3502,-85.1999,55.4,88,90,9.22,US,1613436662
326,port huron,42.9709,-82.4249,19.4,73,90,24.16,US,1613436662
327,isla vista,34.4133,-119.861,66.0,67,1,11.5,US,1613436662
328,dubrovka,53.6907,33.5071,-9.96,91,0,4.05,RU,1613436663
329,belmonte,-15.8631,-38.8828,78.8,73,20,5.75,BR,1613436663
330,bernardino de campos,-23.0131,-49.4742,67.86,93,0,2.17,BR,1613436663
331,navrongo,10.8956,-1.0921,82.81,14,0,6.4,GH,1613436663
332,quatre cocos,-20.2078,57.7625,77.0,94,75,6.91,MU,1613436663
333,deloraine,-41.5333,146.6667,72.0,68,72,2.84,AU,1613436507
334,dwarka,22.2394,68.9678,69.62,83,0,9.4,IN,1613436663
335,camana,-16.6228,-72.7111,71.74,79,63,9.06,PE,1613436663
336,onalaska,43.8844,-91.2351,-0.4,50,1,10.36,US,1613436663
337,caucaia,-3.7361,-38.6531,82.4,78,40,6.91,BR,1613436664
338,bandarbeyla,9.4942,50.8122,73.9,74,30,8.21,SO,1613436476
339,porto novo,6.4965,2.6036,84.2,84,40,12.66,BJ,1613436664
340,jibuti,11.5,42.5,71.6,83,1,8.63,DJ,1613436664
341,grand gaube,-20.0064,57.6608,75.99,89,100,3.0,MU,1613436478
342,cairns,-16.9167,145.7667,86.0,74,75,5.75,AU,1613436578
343,lewiston,44.1003,-70.2148,26.6,68,90,1.86,US,1613436499
344,kutum,14.2,24.6667,61.2,29,1,5.59,SD,1613436664
